country_iso3,country_name,year,gdp_growth,inflation,unemployment,lending_rate,trade_opennes,govt_debt,gdp_per_capita_growth
POL,Poland,2003,3.52337117234833,0.682701375787632,19.899,,69.2134479841788,-2.50410381576022,3.59326547651193
POL,Poland,2004,5.09079546409544,3.38264681884699,18.822,,70.9815765694162,-5.96912639653316,5.15230495657681
POL,Poland,2005,3.26082274679216,2.18379872390251,17.592,,70.3114790902584,-3.30488692842897,3.30621477152089
POL,Poland,2006,6.20210710934373,1.28469394366416,13.794,,77.7008035402352,-4.64906335604984,6.26942932351373
POL,Poland,2007,6.7604478527626,2.4587431238539,9.551,,80.745399056691,-6.68396289819493,6.81843988104569
POL,Poland,2008,4.38377069274605,4.16497193524779,7.069,,80.5746815569207,-6.74648774312839,4.36953645222033
POL,Poland,2009,2.61512859291683,3.79539242483399,8.131,,74.9685965264269,-3.94518857698649,2.54561682473884
POL,Poland,2010,3.16892748258036,2.58069370250548,9.578,,82.2258523219922,-5.16657584018312,3.46400853867873
POL,Poland,2011,5.25546256612796,4.23940149625932,9.576,,86.9236892837618,-5.11055687403888,5.19888222323388
POL,Poland,2012,1.51178167644575,3.56037151702793,10.031,,88.8299033066583,-4.11182485634079,1.51202436704637
POL,Poland,2013,0.684240607051805,0.991982606332335,10.293,,90.4175072415629,-1.98155143805472,0.745031977271424
POL,Poland,2014,3.92050862390032,0.0538213132399802,8.971,,92.0340197113178,-2.97288032663133,3.99831832124629
POL,Poland,2015,4.43176700264478,-0.874125874125862,7.475,,92.2554272741942,-1.3254755565429,4.50138467634895
POL,Poland,2016,3.03117767594847,-0.664767331433962,6.141,,96.8659028060623,-1.06875807090352,3.07547528252388
POL,Poland,2017,5.15245773325907,2.07593553673859,4.867,,100.56589524628,-1.18631982461877,5.13933542172569
POL,Poland,2018,6.2458584723942,1.81295156542689,3.835,,102.442462168005,-1.96597240687912,6.24607110540019
POL,Poland,2019,4.58045817256199,2.22747880938291,3.267,,101.581033817373,-0.272945793712772,4.60600727341085
POL,Poland,2020,-2.03556882399977,3.37446972618589,3.155,,99.2590912303436,2.39835922164097,-0.861202002378917
POL,Poland,2021,6.92718266052501,5.05502704719272,3.268,,110.874283021945,-1.30156521580162,8.47171799983406
POL,Poland,2022,5.25545697386036,14.4294507575758,2.811,,123.021332860345,-2.27455866454271,5.7122759744731
POL,Poland,2023,0.249610834017872,11.5289127961105,2.743,,110.024935041815,1.53683077845046,0.616853101336787
ROU,Romania,1995,6.23351148371351,32.2424847257597,8.01,50.7166666666666,56.291225396158,-4.73949323312222,6.44865941446349
ROU,Romania,1996,3.90770208816159,38.8293013382852,6.74,55.1333333333333,60.7813693722174,-6.96048631418109,4.20752254376104
ROU,Romania,1997,-4.8490627379703,154.763480436309,5.515,72.525,63.205242332383,-5.91423004615668,-4.5747304296564
ROU,Romania,1998,-2.02981290571721,59.0965827541167,5.63,55.3166666666667,53.838795710082,-6.99585947248816,-1.82682397441751
ROU,Romania,1999,-0.376660705758994,45.8037811326363,6.239,65.6416666666667,57.9736750449875,-3.60747182475184,-0.220150554902901
ROU,Romania,2000,2.4612634592269,45.6665940440238,6.969,53.85,48.5213253850786,-3.63721875382544,2.59397523199067
ROU,Romania,2001,5.21813625673708,34.4770123493527,6.561,45.4,51.9285910211481,-5.51799372952363,6.69667366637488
ROU,Romania,2002,5.70299165043771,22.5398862605386,8.112,35.425,53.7102478139376,-3.31050332793727,7.65586943426131
ROU,Romania,2003,2.34114732919521,15.2734889936255,6.95,25.435,56.1795270470243,-5.72774106022585,3.08196384315724
ROU,Romania,2004,10.4281130180976,11.8743635936399,7.719,25.6125,60.6264786669408,-8.5123232185601,11.0591132161949
ROU,Romania,2005,4.6681480508487,9.01491283343835,7.174,19.6008333333333,59.3605494490555,-8.67463205439941,5.3165061122384
ROU,Romania,2006,8.02881107599163,6.55851412276983,7.27,13.9816666666667,61.6836259265159,-10.6661036918405,8.67067585292331
ROU,Romania,2007,7.23380774362805,4.83732928313989,6.413,13.3483333333333,63.5051566734658,-13.7032326042104,8.82964823723904
ROU,Romania,2008,9.30746717077338,7.85080255714482,5.787,14.9883333333333,65.1752009979412,-11.658522565437,11.1442089014979
ROU,Romania,2009,-5.51670615843011,5.58742004264393,6.859,17.275,58.4700583666529,-4.72925693261463,-4.72628859385392
ROU,Romania,2010,-3.90581157302972,6.09141668601891,6.959,14.0725,69.9549354932718,-4.98543687917278,-3.33335291355054
ROU,Romania,2011,4.49558909946313,5.7892532881588,7.177,12.1275,76.271356441629,-4.81588301986922,5.01083371448033
ROU,Romania,2012,1.90361696799603,3.33492267693442,6.794,11.3291666666667,76.5943239913672,-4.57804292376289,2.35828066727251
ROU,Romania,2013,0.278771877470234,3.9847123554813,7.096,10.5225,81.3976131747183,-1.13746709997941,0.651822267051088
ROU,Romania,2014,4.11600109267832,1.06830987684298,6.802,8.46583333333333,83.3751429575201,-0.341464408053705,4.50672544401942
ROU,Romania,2015,3.1570360543854,-0.594156437495203,6.812,6.7675,83.5205767017155,-0.637491637323498,3.64306941096366
ROU,Romania,2016,2.85993252302089,-1.54479666813897,5.901,5.70916666666667,85.8925282906884,-2.10324885883263,3.45169541464914
ROU,Romania,2017,8.19547826641261,1.3390212110439,4.927,5.56451674276812,87.1560645667801,-3.19415712159883,8.82266657090874
ROU,Romania,2018,5.39452228185675,4.62548443137779,4.187,6.80820228932061,87.0911701095809,-4.60748728741797,6.01553045118388
ROU,Romania,2019,3.96028958497598,3.82785432599438,3.912,7.16166666666667,84.9063630584793,-4.86977887140915,4.50941296110349
ROU,Romania,2020,-3.59802546034757,2.63107311184743,5.035,6.48640122828969,78.3616463562709,-5.14043847567815,-3.06561724934225
ROU,Romania,2021,5.58735072538869,5.05232876096582,5.59,5.61349905718721,87.0711965460145,-7.21435033247958,6.37801653902932
ROU,Romania,2022,4.18771305104109,13.7954887432521,5.614,7.75709430926468,93.9496509383447,-9.25297876069207,4.59004052061825
ROU,Romania,2023,2.25773416555121,10.3971874764996,5.589,9.32096121452692,83.3753324062231,-7.03377443891132,2.19035297025793
SAU,Saudi Arabia,1995,0.311708028499027,4.86843103056033,6.365,,65.0417272083752,-3.71007215329781,-3.75839336006798
SAU,Saudi Arabia,1996,3.30468254228352,1.22206054877756,5.804,,66.653820067958,0.428246585132838,-0.741787099435172
SAU,Saudi Arabia,1997,2.64731939948642,0.0571506050626489,5.283,,65.1880669440449,0.183815312865694,-1.2367563168653
SAU,Saudi Arabia,1998,2.80381183998992,-0.37126675171199,4.752,,56.0883926105725,-8.94699931687039,-0.966317239561079
SAU,Saudi Arabia,1999,-0.633393640920247,-1.33375489653896,4.346,,57.8460488194196,0.254139328110494,-4.16496281769805
SAU,Saudi Arabia,2000,4.71813422138024,-1.12499838517645,4.57,,68.1664488005167,7.55444425839441,0.150492543589365
SAU,Saudi Arabia,2001,0.344593196175438,-1.12094804896791,4.618,,63.5605836794513,5.07959598329365,-4.74097088807815
SAU,Saudi Arabia,2002,-0.688390130317757,0.247186492339686,5.265,,64.5927974099254,6.26198626765415,-5.50962678622284
SAU,Saudi Arabia,2003,8.76873381743964,0.612195358172966,5.563,,69.831170708742,12.9967291873383,3.69783168216851
SAU,Saudi Arabia,2004,8.63100545880309,0.5155078977673,5.822,,75.0828366569341,20.0686191554423,3.75594009248144
SAU,Saudi Arabia,2005,5.94489623934835,0.479231671630955,6.051,,81.9540759410158,27.0702838379988,1.35662290420511
SAU,Saudi Arabia,2006,3.31348473625901,2.20902314069647,6.254,,89.9446046768984,27.4448874249267,-1.01590810452811
SAU,Saudi Arabia,2007,2.21365396372528,4.16782358431579,5.734,,94.8633170967657,24.5483035341762,-1.94086075361376
SAU,Saudi Arabia,2008,6.2379875365458,9.87024816760266,5.085,,96.1026308742185,27.8314305903976,2.04298819113291
SAU,Saudi Arabia,2009,-1.06671711240203,5.0572227614833,5.377,,84.8583415624843,5.88427740874122,-4.86501611210622
SAU,Saudi Arabia,2010,5.0395150823517,5.33941733020905,5.55,,82.5496850227537,13.5423706949188,6.08720360847519
SAU,Saudi Arabia,2011,11.758820686671,5.8262163739404,5.77,,84.3594342438995,23.8816335912651,6.79984191573597
SAU,Saudi Arabia,2012,5.76157382270968,2.86627029905053,5.622,,81.74067854616,22.8484723061974,1.40889754697817
SAU,Saudi Arabia,2013,2.94563789152025,3.51104209799866,5.6,,80.2515014286783,18.3253067776542,-2.47720466086211
SAU,Saudi Arabia,2014,4.02467158380668,2.24185348779063,5.877,,78.000111117736,9.86478118777848,1.5065962283723
SAU,Saudi Arabia,2015,4.65512316652699,1.22269318552328,5.6,,67.1052692300592,-7.93818281494483,-0.634810334471936
SAU,Saudi Arabia,2016,1.70404739202878,2.05347076823965,5.6,,57.9216635110364,-3.91268584311643,-2.03439520588341
SAU,Saudi Arabia,2017,1.18210705878283,-0.834845735027162,5.89,,59.5319791578229,1.2254608961689,1.10646877226159
SAU,Saudi Arabia,2018,3.2269508901591,2.46594308994843,6.029,,59.1029104697141,7.89890750977747,5.89707730206987
SAU,Saudi Arabia,2019,1.65158925617395,-1.19298644533328,5.636,,56.7938204886513,3.64484004485363,2.09953683085793
SAU,Saudi Arabia,2020,-3.80478901996312,3.37234961012303,7.66,,47.533159225048,-4.51692116727614,-8.3434729070232
SAU,Saudi Arabia,2021,6.51959698325419,3.06328988941548,6.621,,50.8839263398787,4.56976271965319,9.17745692710805
SAU,Saudi Arabia,2022,12.0005874752929,2.47407371925372,5.589,,56.8241647749332,11.7294510759776,7.15912905732745
SAU,Saudi Arabia,2023,0.542592439393161,2.32708518362706,4.008,,54.1690118283683,2.12936776093395,-4.01429387790023
SEN,Senegal,1995,5.46858485819628,7.8640078457011,2.846,,52.7254034277702,-3.86419721134813,2.79825042307988
SEN,Senegal,1996,2.01997720854131,2.75430663482407,2.831,,46.272432717398,-3.06028361139742,-0.443182026754187
SEN,Senegal,1997,3.04560103485423,1.75316478097236,2.759,,47.2413224036235,-3.05919124475018,0.642689765162558
SEN,Senegal,1998,5.89847931769205,1.15678070391341,2.751,,48.0986748167655,-3.80375176727342,3.45290634461773
SEN,Senegal,1999,6.28330825030987,0.827250608272497,2.655,,49.4852621662422,-4.85800602014769,3.79374220499105
SEN,Senegal,2000,3.88721095816793,0.731981981981597,2.638,,48.680089723263,-5.54079842355363,1.41335705319622
SEN,Senegal,2001,4.31085146618369,2.97450083919566,2.674,,49.7205780648314,-3.77513794796373,1.81176865944212
SEN,Senegal,2002,0.0686965747419066,2.33730187454299,2.82,,53.1442994641329,-4.54340089477442,-2.35286664944574
SEN,Senegal,2003,5.59395094456143,-0.0519970242714495,2.781,,50.8212198933376,-4.98969389328597,3.08280432027999
SEN,Senegal,2004,4.64329393683312,0.514781781023016,2.775,,53.6592031275529,-5.0744758990416,2.21660237161285
SEN,Senegal,2005,4.31023852639633,1.71133325855502,2.679,7.04916666666667,54.9032435689485,-6.14150322696352,1.8985497213755
SEN,Senegal,2006,2.33077098330239,2.11228583877117,2.755,4.73666666666667,54.1362378092613,-7.36865431598262,-0.0239030984175912
SEN,Senegal,2007,2.82711920133374,5.85330428467681,2.8,4.75166666666667,59.2713043549794,-9.37907093301321,0.466183194352098
SEN,Senegal,2008,3.70316906391386,7.34720236578406,2.816,4.98416666666667,62.7617698176319,-11.222076072763,1.30518111750766
SEN,Senegal,2009,2.75210448455053,-2.2480214785534,2.807,4.9775,52.3072908773365,-5.30915741099426,0.349911484355829
SEN,Senegal,2010,3.39088925336209,1.22868119673344,2.795,5.11333333333333,52.4578551962948,-3.65650876220736,0.952269607225944
SEN,Senegal,2011,1.33409107961258,3.40322829786971,2.853,5.25591666666667,57.5768785989578,-6.44529936745541,-1.19544188286081
SEN,Senegal,2012,4.00299555090457,1.41822871177854,3.896,5.03916666666667,61.9753040040375,-8.65191854670285,1.2557464643975
SEN,Senegal,2013,2.41238527605579,0.710245486695176,5.012,5.2875,60.6267663596737,-8.19227245767779,-0.578035528287558
SEN,Senegal,2014,6.22407443790986,-1.09025507446895,5.849,5.33833333333333,58.4425289760992,-6.80294523804886,2.91207940579723
SEN,Senegal,2015,6.36704365066983,0.135211933635165,6.757,5.15416666666667,58.1103376742017,-5.31619475400191,3.15103873013858
SEN,Senegal,2016,6.35606857181878,0.837284942557434,4.455,5.295,54.1081692072139,-4.178756111634,3.23503572393487
SEN,Senegal,2017,7.4074861863013,1.31815314847789,4.078,,57.7052798455617,-7.26914082739769,4.3502357301897
SEN,Senegal,2018,6.20924103389086,0.460985642464188,3.453,,61.7898394793183,-9.58292425612147,3.27615846996514
SEN,Senegal,2019,4.61362809749708,1.76011151192939,2.863,,64.2362506061005,-8.10949609772061,1.80892290260792
SEN,Senegal,2020,1.3420737726679,2.54314685681662,3.432,,60.0468716137065,-10.8532305243561,-1.29147593329481
SEN,Senegal,2021,6.54400109964304,2.18032278088147,3.436,,69.3759939883832,-12.0900482268387,3.8734325976821
SEN,Senegal,2022,3.85043193735768,9.69681899081073,2.837,,79.5998216515832,-19.9485520410487,1.31913435017567
SEN,Senegal,2023,4.2574308328029,5.93947798773215,2.784,,71.3930249127445,-19.7803402658787,1.79788238969797
SGP,Singapore,1995,7.17540112091071,1.72053384788524,3.3,6.36916666666666,345.459263895462,16.4967504477223,3.9685677515225
SGP,Singapore,1996,7.47139086002002,1.38318052481876,3.57,6.26,334.911163288092,14.6273471153629,3.1909851392228
SGP,Singapore,1997,8.31620911124497,2.00358618538962,2.5,6.3225,323.86442214814,15.5698355478411,4.73992674717256
SGP,Singapore,1998,-2.19101500611274,-0.267502292876153,3.41,7.44166666666666,312.079255674686,21.7915511543613,-5.45798667446206
SGP,Singapore,1999,5.71837175710837,0.0167098337370727,4.85,5.8,336.484846412882,17.2038802401523,4.87689184197752
SGP,Singapore,2000,9.03831632555163,1.36162392448456,3.7,5.83333333333333,364.364520468218,11.0715031927897,7.16598820156491
SGP,Singapore,2001,-1.07086275100448,0.997197956155943,3.76,5.64833333333333,349.292105694978,14.4329302808565,-3.70366595204537
SGP,Singapore,2002,3.92336076702013,-0.391676866585049,5.65,5.34583333333333,349.746013985676,14.8770537568056,2.97922962062731
SGP,Singapore,2003,4.54825542643229,0.507905300237551,5.93,5.30666666666667,377.218564301581,24.3020823146557,6.10127554555405
SGP,Singapore,2004,9.93998268434957,1.66272719863072,5.84,5.3,401.523712538509,19.3111213606955,8.5722052915981
SGP,Singapore,2005,7.36632239250758,0.425106276569107,5.59,5.3,420.430512920559,23.2604773041195,4.87209326850753
SGP,Singapore,2006,9.00676607871758,0.965657519018511,4.48,5.3125,425.363399543019,26.893381350331,5.64834329383781
SGP,Singapore,2007,9.02151951268893,2.10980166714574,3.9,5.33,394.288471919078,27.1433325306869,4.57298627096552
SGP,Singapore,2008,1.86348345462035,6.63544058395309,3.96,5.38,437.326714891057,15.08343561816,-3.41549269446281
SGP,Singapore,2009,0.127953382778088,0.589142019610516,5.86,5.38,358.192811828842,16.3930632928179,-2.84677194924208
SGP,Singapore,2010,14.5197497108994,2.82884527612958,4.12,5.38,369.685555787646,22.9333472183784,12.5085215498552
SGP,Singapore,2011,6.21493416858989,5.25115624639373,3.89,5.38,379.098631377539,22.2184518342372,4.02338164865897
SGP,Singapore,2012,4.43549759378537,4.58084479423094,3.72,5.38,369.212965787665,17.6432739045994,1.90446223662212
SGP,Singapore,2013,4.81763099120676,2.36439793742726,3.86,5.38,367.041780049019,15.7071875902089,3.13397914899265
